,0
1984-02-01,1606.0
1984-03-01,668.0
1984-04-01,474.0
1984-05-01,570.0
1984-06-01,759.0
1984-07-01,630.0
1984-08-01,681.0
1984-09-01,650.0
1984-10-01,618.0
1984-11-01,698.0
1984-12-01,836.0
1985-01-01,743.0
1985-02-01,850.0
1985-03-01,675.0
1985-04-01,737.0
1985-05-01,753.0
1985-06-01,922.0
1985-07-01,841.0
1985-08-01,835.0
1985-09-01,698.0
1985-10-01,745.0
1985-11-01,919.0
1985-12-01,1064.0
1986-01-01,1083.0
1986-02-01,1014.0
1986-03-01,884.0
1986-04-01,773.0
1986-05-01,879.0
1986-06-01,920.0
1986-07-01,874.0
1986-08-01,741.0
1986-09-01,690.0
1986-10-01,717.0
1986-11-01,902.0
1986-12-01,1174.0
1987-01-01,1071.0
1987-02-01,1193.0
1987-03-01,921.0
1987-04-01,857.0
1987-05-01,1068.0
1987-06-01,1234.0
1987-07-01,859.0
1987-08-01,1051.0
1987-09-01,785.0
1987-10-01,1090.0
1987-11-01,940.0
1987-12-01,1020.0
1988-01-01,1252.0
1988-02-01,1139.0
1988-03-01,946.0
1988-04-01,885.0
1988-05-01,1048.0
1988-06-01,895.0
1988-07-01,892.0
1988-08-01,970.0
1988-09-01,1017.0
1988-10-01,1054.0
1988-11-01,1175.0
1988-12-01,1062.0
1989-01-01,1145.0
1989-02-01,1154.0
1989-03-01,919.0
1989-04-01,814.0
1989-05-01,1043.0
1989-06-01,909.0
1989-07-01,983.0
1989-08-01,892.0
1989-09-01,945.0
1989-10-01,1040.0
1989-11-01,949.0
1989-12-01,942.0
1990-01-01,1043.0
1990-02-01,1001.0
1990-03-01,882.0
1990-04-01,871.0
1990-05-01,955.0
1990-06-01,788.0
1990-07-01,869.0
1990-08-01,876.0
1990-09-01,914.0
1990-10-01,841.0
1990-11-01,928.0
1990-12-01,1665.0
1991-01-01,2140.0
1991-02-01,1805.0
1991-03-01,1182.0
1991-04-01,1029.0
1991-05-01,1035.0
1991-06-01,996.0
1991-07-01,905.0
1991-08-01,1085.0
1991-09-01,933.0
1991-10-01,1057.0
1991-11-01,893.0
1991-12-01,990.0
1992-01-01,993.0
1992-02-01,1045.0
1992-03-01,1026.0
1992-04-01,1133.0
