# US Large Cap Stocks
Name: EXXON, Ticker: XOM, Sector: Energy
Name: Newmont Corporation, Ticker: Nem, Sector: Mining/Materials
Name: Catterpillar, Ticker: CAT, Sector: Industrials
Name: Procter & Gamble, Ticker: PG, Sector: Consumer Staples
Name: Amazon, Ticker: AMZN, Sector: Consumer Discretionary
Name: Eli Lilly, Ticker: LLY, Sector: Healthcare/Pharmaceuticals
Name: JPMorgan Chase, Ticker: JPM, Sector: Financials
Name: Nvidia, Ticker: NVDA, Sector: Information Technology
Name: GOOGL, Ticker: GOOGL, Sector: Communication Services
Name: NextEra Energy, Ticker: NEE, Sector: Utilities
Naem Welltower, Ticker: WELL, Sector: Real Estate

# US Large ETFs Stocks
Name: Energy Select Sector SPDR Fund, Ticker: XLE, Sector: Energy
Name: Materials Select Sector SPDR Fund, Ticker: XLB, Sector: Mining/Materials
Name: Industrial Select Sector SPDR Fund, Ticker: XLI, Sector: Industr
Name: Consumer Staples Select Sector SPDR Fund, Ticker: XLP, Sector: Consumer Staples
Name: Consumer Discretionary Select Sector SPDR Fund, Ticker: XLY, Sector: Consumer Discretionary
Name: Health Care Select Sector SPDR Fund, Ticker: XLV, Sector: Healthcare/Pharmaceuticals
Name: Financial Select Sector SPDR Fund, Ticker: XLF, Sector: Financials
Name: Technology Select Sector SPDR Fund, Ticker: XLK, Sector: Information Technology
Name: Communication Services Select Sector SPDR Fund, Ticker: XLC, Sector: Communication Services
Name: Utilities Select Sector SPDR Fund, Ticker: XLU, Sector: Utilities
Name: Real Estate Select Sector SPDR Fund, Ticker: XLRE, Sector: Real Estate

# UK Large Cap Stocks
Name: Shell, Ticker: SHEL, Sector: Energy
Name: Rio Tinto, Ticker: RIO, Sector: Materials/Mining
Name: Rolls-Royce, Ticker: RR, Sector: Industrials
Name: Burberry, Ticker: BRBY, Sector: Consumer Discretionary
Name: Unilever, Ticker: ULVR, Sector: Consumer Staples
Name: AstraZeneca, Ticker: AZN, Sector: Health Care/Pharmaceuticals
Name: HSBC Holdings, Ticker: HSBA, Sector: Financials
Name: RELX, Ticker: REL, Sector: Information Technology (Data/Analytics)
Name: Vodafone, Ticker: VOD, Sector: Communication Services
Name: National Grid, Ticker: NG, Sector: Utilities
Name: Segro, Ticker: SGRO, Sector: Real Estate

# UK Large ETFs Stocks
Name: iShares MSCI World Energy Sector UCITS ETF, Ticker: WENS, Sector: Energy
Name: iShares MSCI World Materials Sector UCITS ETF, Ticker: WMAT, Sector: Materials/Mining
Name: iShares MSCI World Industrials Sector UCITS ETF, Ticker: WNDU, Sector: Industrials
Name: iShares MSCI World Consumer Discretionary Sector UCITS ETF, Ticker: WDIS, Sector: Consumer Discretionary
Name: iShares MSCI World Consumer Staples Sector UCITS ETF, Ticker: WCSS, Sector: Consumer Staples
Name: iShares MSCI World Health Care Sector UCITS ETF, Ticker: WHCS, Sector: Health Care/Pharmaceuticals
Name: iShares MSCI World Financials Sector UCITS ETF, Ticker: WFINS, Sector: Financials
Name: iShares MSCI World Information Technology Sector UCITS ETF, Ticker: WTEC, Sector: Information Technology
Name: iShares MSCI World Communication Services Sector UCITS ETF, Ticker: WCOM, Sector: Communication Services
Name: iShares MSCI World Utilities Sector UCITS ETF, Ticker: WUTI, Sector: Utilities
Name: iShares UK Property UCITS ETF, Ticker: IUKP, Sector: Real Estate

# EU Large Cap Stocks
Name: TotalEnergies, Ticker: TTE, Sector: Energy
Name: Linde, Ticker: LIN, Sector: Materials/Industrial Gases
Name: Siemens, Ticker: SIE, Sector: Industrials
Name: LVMH, Ticker: MC, Sector: Consumer Discretionary
Name: Nestlé, Ticker: NESN, Sector: Consumer Staples
Name: Novo Nordisk, Ticker: NOVO-B, Sector: Health Care/Pharmaceuticals
Name: BNP Paribas, Ticker: BNP, Sector: Financials
Name: ASML Holding, Ticker: ASML, Sector: Information Technology
Name: Deutsche Telekom, Ticker: DTE, Sector: Communication Services
Name: Enel, Ticker: ENEL, Sector: Utilities
Name: Vonovia, Ticker: VNA, Sector: Real Estate

# EU Large ETFs Stocks
Name: iShares STOXX Europe 600 Energy UCITS ETF, Ticker: EXH1, Sector: Energy
Name: iShares STOXX Europe 600 Basic Resources UCITS ETF, Ticker: EXH2, Sector: Materials/Mining
Name: iShares STOXX Europe 600 Industrial Goods & Services UCITS ETF, Ticker: EXH3, Sector: Industrials
Name: iShares STOXX Europe 600 Consumer Discretionary UCITS ETF, Ticker: EXH4, Sector: Consumer Discretionary
Name: iShares STOXX Europe 600 Consumer Staples UCITS ETF, Ticker: EXH5, Sector: Consumer Staples
Name: iShares STOXX Europe 600 Health Care UCITS ETF, Ticker: EXH6, Sector: Health Care/Pharmaceuticals
Name: iShares STOXX Europe 600 Financial Services UCITS ETF, Ticker: EXH7, Sector: Financials
Name: iShares STOXX Europe 600 Technology UCITS ETF, Ticker: EXH9, Sector: Information Technology
Name: iShares STOXX Europe 600 Telecommunications UCITS ETF, Ticker: EXH8, Sector: Communication Services
Name: iShares STOXX Europe 600 Utilities UCITS ETF, Ticker: EXH10, Sector: Utilities
Name: iShares European Property Yield UCITS ETF, Ticker: IPRP, Sector: Real Estate
