Name,Ticker,Sector,Region
Exxon,XOM,Energy,US
Newmont Corporation,NEM,Mining,US
Caterpillar,CAT,Industrials,US
Procter & Gamble,PG,Consumer Staples,US
Amazon,AMZN,Consumer Discretionary,US
Eli Lilly,LLY,Healthcare/Pharmaceuticals,US
JPMorgan Chase,JPM,Financials,US
Nvidia,NVDA,Information Technology,US
Alphabet (Google),GOOGL,Communication Services,US
NextEra Energy,NEE,Utilities,US
Welltower,WELL,Real Estate,US
Shell,SHEL.L,Energy,UK
Rio Tinto,RIO.L,Mining,UK
Rolls-Royce,RR.L,Industrials,UK
Burberry,BRBY.L,Consumer Discretionary,UK
Unilever,ULVR.L,Consumer Staples,UK
AstraZeneca,AZN.L,Health Care/Pharmaceuticals,UK
HSBC Holdings,HSBA.L,Financials,UK
RELX,REL.L,Information Technology (Data/Analytics),UK
Vodafone,VOD.L,Communication Services,UK
National Grid,NG.L,Utilities,UK
Segro,SGRO.L,Real Estate,UK
TotalEnergies,TTE.PA,Energy,EU
Air Liquide,AI.PA,Materials,EU
Siemens,SIE.DE,Industrials,EU
LVMH,MC.PA,Consumer Discretionary,EU
Heineken,HEIA.AS,Consumer Staples,EU
Novo Nordisk,NOVO-B.CO,Health Care/Pharmaceuticals,EU
BNP Paribas,BNP.PA,Financials,EU
ASML Holding,ASML.AS,Information Technology,EU
Deutsche Telekom,DTE.DE,Communication Services,EU
Enel,ENEL.MI,Utilities,EU
Vonovia,VNA.DE,Real Estate,EU
